Алиса	Вес	Внешний вид	Габаритные размеры (В*Ш*Г)	Габаритные размеры (В*Ш*Д)	Гарантия	Гарантия предоставляется	Диапазон температур	Длина сетевого шнура	Заваривание чая	Залив воды без открытия крышки	Звуковой сигнал при закипании	Индикация	Количество режимов нагрева	Количество стенок	Максимальный объем	Маруся	Материал корпуса	Объем	Отключение при закипании	Отключение при отсутствии воды	Отключение при снятии	Отложенный старт	Отсек для сетевого шнура	Подключение	Подсветка корпуса	Потребляемая мощность	Работает в системе Умный дом	Регулировка температуры	Салют	Сенсорное управление	Смартфон в качестве пульта ДУ	Состояние	Сохранение тепла	Способ открытия крышки	Срок службы	Страна	Технология снижения уровня шума	Тип нагревательного элемента	Фильтр от накипи	Функция	Цвет	Цвет подсветки корпуса	Цифровой дисплей	Экосистема
	1.2	новый	22.5*17.5*21 см		2 года	производителем	20-100 *С	0.9		Да		включения, уровня воды, температуры	1	1	1.7		нержавеющая сталь		Да	Да	Да		Да			2200						новый		полностью съемная		Китай		диск			белый/ бронзовый	отсутствует		отсутствует
	0.89		22*18*20 см		1 год	производителем	10-100 *С	1				включения	1		1.6		нержавеющая сталь/ пластик		Да	Да	Да		Да			1500										Китай		закрытая спираль			черный			
	0.8	новый	21.5*17.5*19.5 см		2 года	производителем	100-100 *С	0.8				включения, уровня воды	1	1	1.7		нержавеющая сталь		Да	Да	Да		Да			2200						новый		кнопка на корпусе		Китай		скрытый нагревательный элемент	Да		сиреневый			
	0.89	новый	23.5*17*20.5 см		1 год	производителем	1-100 *С	1.5				включения	1	1	1.8		нержавеющая сталь		Да	Да	Да		Да			1500						новый		нажатие		Китай		ТЭН			красный	отсутствует		отсутствует
	0.9	новый	23.5*19*23.5 см		1 год	производителем	100-100 *С	0.8				уровня воды	1	1	1.7		пластик		Да	Да	Да		Да			2200						новый		полностью съемная		Китай		закрытая спираль	Да		белый	отсутствует		отсутствует
	0.8	новый	23*16.3*21 см		1 год	производителем	10-100 *С	0.75			Да	включения, уровня воды	1	1	1.7		пластик		Да	Да	Да		Да			2200						новый		кнопка на корпусе		Китай		ТЭН	Да		черный	отсутствует		отсутствует
	1.059		23.5*19.5*19.5 см		1 год	производителем	10-100 *С	1					1		1.8		стекло/ пластик		Да	Да	Да		Да			1500										Китай		закрытая спираль			белый			
	1.3	новый	23.5*21*16 см		1 год	производителем	100 *С	0.7				включения, уровня воды	1	1	1.7		стекло закаленное		Да	Да	Да		Да		Да	2200						новый		нажатие		Китай		закрытая спираль	Да		серый	синий		отсутствует
	1.197	новый	24.5*20*20 см		1 год	производителем	10-100 *С	1				включения, уровня воды	1	1	1.5		стекло/ пластик		Да	Да	Да		Да		Да	1500						новый		нажатие		Китай		закрытая спираль			белый			отсутствует
	1.06		24*18*19 см		1 год	производителем	1-100 *С	1				включения	1		2		нержавеющая сталь/ пластик		Да		Да					1800										Китай		диск			серебристый			
	1	новый	27*22*18 см		2 года	производителем	100-100 *С	0.72				включения, уровня воды	1	1	1.5		металл/ пластик		Да	Да	Да		Да			2200						новый		полностью съемная		Китай		скрытый нагревательный элемент	Да		белый			
	1.01		27.7*21.1*20.3 см		2 года	производителем	40-100 *С	0.8			Да	температуры	1	1	0.9		нержавеющая сталь		Да	Да	Да					1200		Да				новый	Да	полностью съемная		Китай		закрытая спираль	Да	поддержание температуры	черный матовый		Да	отсутствует
	1.08		21*23*18 см		2 года	производителем	10-100 *С	0.7				включения, уровня воды	1	1	1.7		термопластик		Да	Да	Да					2200						новый		кнопка на корпусе		Китай		диск	Да		черный	отсутствует		отсутствует
	1.1				2 года	производителем	100-100 *С	0.65				включения	1		1.7		нержавеющая сталь			Да						2200										Китай		диск	Да		черный			
	1.75	новый	26*45*21 см		1 год	производителем	100 *С	0.7	Да			включения, уровня воды	1	1	2		пластик/ стекло		Да	Да	Да				Да	1500						новый		нажатие		Китай		диск		заваривание чая	черный/ прозрачный	фиолетовый		отсутствует
	0.9	новый	22.5*15.6*20 см		1 год	производителем	20-100 *С	0.75			Да	включения, уровня воды, температуры	1	1	1.7		пластик		Да	Да	Да					2200						новый		кнопка на корпусе		Китай		диск	Да		зеленое яблоко	отсутствует		отсутствует
